,Bar Name,Url,Address,Number of Reviews,Rating,Average Price
0,RIINK,http://www.dianping.com/shop/k7WoGmuNzNnO1gmv,康定路358号18栋102室,905,4.84,152
1,WAKECLUB派对酒吧,http://www.dianping.com/shop/GaX3qtoOCO0ue9Il,同济路999号15号楼1-3楼,42,4.88,227
2,ARESSPACECLUB,http://www.dianping.com/shop/G9pceR9o4wlmMCUS,先锋街66号25幢108-1、108-2室,101,4.94,222
3,U.B.CBAR,http://www.dianping.com/shop/G6RjKKGuNqBLfUs5,海宁路397号2楼,5,4.28,NaN
4,TheZUKBar,http://www.dianping.com/shop/H4oyZuN2OGLtTpGM,威海路380号,227,4.84,155
5,SPACE派对酒吧,http://www.dianping.com/shop/k9GNJc5FFDRZggUA,蒙山北路399号,35,3.97,NaN
6,ピュア纯洁,http://www.dianping.com/shop/l6XaqNH1svHfL0AE,仙霞路698号,11,3.72,NaN
7,兰桂坊酒吧(杨浦店),http://www.dianping.com/shop/G996M7iphIYO6lkB,翔殷路999号15幢203室,5,4.24,NaN
8,MANDERLEYBAR曼德雷酒吧,http://www.dianping.com/shop/l7HbQno5ICkVnJAR,北京西路1013号尚演谷2楼（近江宁路）,77,4.86,154
9,TOPLIV酒吧·PARTYSPACE,http://www.dianping.com/shop/Fs2vZ1pvpL3oS1yY,年家浜路433号国美电器3楼,91,4.04,579
10,FUNCLUB派对酒吧,http://www.dianping.com/shop/l2q60RVNSZxZOjF1,安波路1006号,238,4.88,284
11,OWNERPLAY,http://www.dianping.com/shop/H7eYzuIgR3P7K0mm,石门一路211号旺旺大厦23楼,55,4.85,1152
12,苏荷酒吧,http://www.dianping.com/shop/G2gHW2VDROPHe7Tf,七莘路1839号108财富广场5F,17,4.79,NaN
13,THEBROKENDAGGER,http://www.dianping.com/shop/H9dhC3IHnD58mEND,襄阳北路93号-1,119,4.86,190
14,SPACEPLUS,http://www.dianping.com/shop/H4BmRvvcYBrjPazc,滨江大道1833号,553,4.83,1198
15,SOS酒吧(松江旗舰店),http://www.dianping.com/shop/k5mWb12LhkhkQ9VY,荣乐西路189号松江时代广场1楼,113,4.84,424
16,T66SKYBAR空中酒廊(人民广场店),http://www.dianping.com/shop/G8va602KkbqJpdnu,南京东路789号世茂皇家艾美酒店66楼,192,4.82,268
17,瓦伦丁女仆制服酒吧VALENTINEBAR,http://www.dianping.com/shop/G1DZoWs1Gldqd2ce,陕西北路1163号,361,4.88,312
18,TAXXSHANGHAI(延安中路店),http://www.dianping.com/shop/l1MG0tsASqGI4oan,延安中路1123号,98,4.86,2691
19,Hypnotic,http://www.dianping.com/shop/l94fjFPai9Wqx2Kc,南京西路580号L-132（左侧内街内）,166,4.89,206
20,MASTER,http://www.dianping.com/shop/k8cx4Jz2a9srOCkO,淮海中路523号TX淮海5、6楼,169,4.85,1930
21,ACESPACEPLUS,http://www.dianping.com/shop/jUSiupuZFXn3TJVL,川沙路4019号,83,4.91,NaN
22,REVEL,http://www.dianping.com/shop/G2Y0GRNxwsWPcAV7,襄阳南路222号,511,4.67,189
23,地理学家GeographerBar(浦东店),http://www.dianping.com/shop/l6HR36ZquiXkwYQA,世纪大道世纪汇广场A座LG1层（星空KTV对面）,314,4.84,77
24,M2酒吧MASSSOUTHKOREA(黄浦旗舰店),http://www.dianping.com/shop/G8vSgFasWgl4yP3s,淮海中路1号,1191,4.81,816
25,一家破酒馆民谣吧,http://www.dianping.com/shop/k2O88a1CbiMiqO0W,田林路118号第二排二楼（苏宁电器对面巷子内）,31,4.85,78
26,YES夜肆Club,http://www.dianping.com/shop/ka0FyZIs4rXTNwit,阿克苏路1358号,18,4.83,324
27,KOOKY网抑云音乐酒吧(爱琴海店),http://www.dianping.com/shop/G3U0HPiTHJwXFmwZ,虹井路120弄1号187、188室,35,4.88,NaN
28,Base酒肆Cocktail&Whisky,http://www.dianping.com/shop/k3hCHgn5PeYIy3vN,大沽路386号,512,4.86,180
29,Spaceless,http://www.dianping.com/shop/l6MGeDzKylP9WYeZ,申滨南路998号1层108室,29,4.82,NaN
30,HAZY酒吧,http://www.dianping.com/shop/G8hfQWOFpcetU52J,泰康路210号,152,4.88,245
31,KeyWest,http://www.dianping.com/shop/FgzNCsfNtKYkpK1z,永嘉路689弄1号,143,4.92,141
32,LIPOBAR李白,http://www.dianping.com/shop/l1MbQkenxpMbPbm6,徐家汇路550号宝鼎大厦201室（地铁9号线打浦桥站2号口左转50米）,251,4.83,95
33,TAG,http://www.dianping.com/shop/l7Yzjj3kmOD4M4aC,大学路261号201室（帕蓝·暹罗料理楼上）,108,4.94,173
34,PPM,http://www.dianping.com/shop/l7LS112lu0iF1djI,昭化路43弄4号-2室（沿街商铺）,76,4.94,130
35,ScorpionsBar蝎毒,http://www.dianping.com/shop/l9kBxh68lhV49fSA,国定路506号8幢103室,21,4.90,79
36,Nowhere,http://www.dianping.com/shop/G2auSQLHqfu98aEU,大学路103号801（人生一串楼上8楼）,188,4.93,122
37,Ringside音乐拳击主题酒吧(静安店),http://www.dianping.com/shop/G3T6MosxmyjQWZnp,恒丰路568号恒汇国际大厦3楼,29,4.68,158
38,MANGOMUSIC上海,http://www.dianping.com/shop/l8BRV0kAauXEGvai,北外滩白玉兰广场L3-03号,82,4.93,242
39,FIRSTX酒吧,http://www.dianping.com/shop/l2SDzPuu72fdMIP2,金沙江路1685号16幢BW2-8,494,4.81,1178
40,EShineBar&Cafe(甜爱店),http://www.dianping.com/shop/H2IIJ6D55Kd8sWq5,上海市虹口区甜爱支路33号1层,40,4.90,80
41,无乱酒馆(周浦店),http://www.dianping.com/shop/H66Eh1edxApaHChU,川周公路4471号,42,4.90,109
42,CURFEW門禁,http://www.dianping.com/shop/k7Oozj31JeBxbYLs,汾阳路1号豪生酒店侧门,385,4.85,154
43,Uncle’sbar,http://www.dianping.com/shop/k7Qqe3zRU9Zo5yw4,顺恒街顺恒国际广场H21,104,4.90,141
44,9ISLANDS(静安店),http://www.dianping.com/shop/G18jtnLdhzaKcveo,灵石路715号,91,4.95,175
45,FINELINEwhiskybar,http://www.dianping.com/shop/HaEdRuGEvYsnt7E7,茂名南路100号,33,4.86,86
46,Family,http://www.dianping.com/shop/ifMpX48i26f7gj8K,大学路170号创智天地二期8楼801室（81BAKERY右边进门右转电梯),68,4.94,106
47,船长酒吧TheCaptain,http://www.dianping.com/shop/G7aNOOxz30jYyAdS,福州路37号船长酒店6搂,2257,4.86,155
48,MOSSO音乐酒吧·LiveHouse(南京西路店),http://www.dianping.com/shop/G9MEAMbt4TkFIutm,凤阳路545号魔贸580商场101店,1563,4.86,196
49,苏荷酒吧V+HOUSECLUB(闵行旗舰店),http://www.dianping.com/shop/la0tkzVloWnZ9JJd,莲花南路1560号3楼,130,4.82,256
50,OhbarLivehouse(外滩店),http://www.dianping.com/shop/HaYmylvAnGrP7KJy,虎丘路45号,28,4.92,90
51,BlackNote黑胶唱片爵士酒吧,http://www.dianping.com/shop/GaK3ZRm4sUw7LUBZ,昌化路46号二楼,89,4.94,166
52,eatnwork露台酒吧,http://www.dianping.com/shop/l56VKXR260QGhfp5,名商路正大广场9楼露台,409,4.81,206
53,黑石BLACKSTONE,http://www.dianping.com/shop/FRJtQ1jxtCbovLQf,复兴中路1331弄黑石公寓1号楼108-109室,141,4.94,248
54,MOSSO音乐酒吧•livehouse(长乐路店),http://www.dianping.com/shop/k5vl9yZIJslVE9mo,长乐路433号,1359,4.81,203
55,ALA执事女仆CLUB(大学路店),http://www.dianping.com/shop/G1FqfQhliLPV34Kf,大学路91号803室,70,4.97,84
56,巷里等你·酒吧,http://www.dianping.com/shop/k2A7cQi8trnWbIpt,国定路506号06栋106-107,57,4.88,76
57,hey！Bar,http://www.dianping.com/shop/k8LAC6aDjRK8BtGy,瑞金二路39号-3,69,4.92,100
58,ListenLiveHouse(大宁店),http://www.dianping.com/shop/H71f8ayBZGC9OEKy,万荣路700号C6,1470,4.81,175
59,LastdropWhiskyBar,http://www.dianping.com/shop/k3dUDbu9sSxsslT6,伽利略路339号（全季酒店后伽利略路进）,62,4.84,178
60,未满WeMeet,http://www.dianping.com/shop/l1le7B4yl4J7oZmd,长乐路137号,301,4.93,133
61,FridayNightWhiskyClub(古北店),http://www.dianping.com/shop/H7K3QfQ3vDrySndv,古北路555弄5号103室近虹桥华庭西南门,226,4.91,141
62,ROUTE926精酿Restaurant,http://www.dianping.com/shop/ka9BrOCKRVqL0yq5,联杨路926号,114,4.92,141
63,苏荷SOHO酒吧(杨浦店),http://www.dianping.com/shop/G6oDjeSkeuMIjIS1,邯郸路399号2层商铺2室,47,4.91,NaN
64,MUSHROOM,http://www.dianping.com/shop/l33eOEtj2IlFsWHy,长乐路462号集社中庭,33,4.95,153
65,1886LiveHouse(环宇荟店),http://www.dianping.com/shop/G4zPfjBZ5ImxkpOH,黄陂南路848号中海环宇荟一层L152,3762,4.88,161
66,M-BOX音乐酒吧(陆家嘴中心店),http://www.dianping.com/shop/H6BJb3ccJRsbnxJ9,浦东南路889号陆家嘴中心穹顶花园（2号线东昌路站南180米）,1952,4.82,185
67,Horse露台酒吧•LiveHouse(徐家汇店),http://www.dianping.com/shop/l3pGTmxbkEurmxjs,广元西路301号1F,62,4.88,103
68,Gin&Juice,http://www.dianping.com/shop/k1QClp0F6T2sU5YM,康定路358号3-106,45,4.86,157
69,HIBABYCLUB电音派对酒吧,http://www.dianping.com/shop/l2WyxKBHMjcQUBs8,先锋街66号25幢108-1-2室,486,4.81,408
70,夹壳虫BeetleBar酒吧,http://www.dianping.com/shop/l1ZdkLjGVcNgaKoS,沪松公路九亭金地广场外街1楼（车库出入口附近）,42,4.90,110
71,CASEMIRO音乐酒吧,http://www.dianping.com/shop/G2nxfmweIkSr2gwY,德宏路2515号,24,4.84,78
72,key8·LiveHouse,http://www.dianping.com/shop/G1SA52LrcfCZQaDM,古北路555弄8号b1,148,4.92,117
73,MIAMI迈阿密酒吧(闵行总店),http://www.dianping.com/shop/H8IxCuMcDPjMGYIL,金汇南路168号,112,4.92,NaN
74,73号精酿啤酒Bar,http://www.dianping.com/shop/l11s8KB5sqG1EyiK,潍坊西路73号13栋3层,111,4.86,125
75,ATOMPSONHOTEL(丰盛里),http://www.dianping.com/shop/G77ApqTJdJ8qiTwq,茂名北路271号,315,4.89,213
76,Blues’sBistro,http://www.dianping.com/shop/H9MnoMmcMQKVIlrz,银城路119号尚悦西街B1-11,29,4.94,216
77,SEVENDAY精酿酒屋(三林路店),http://www.dianping.com/shop/l3seH6VmHouQqhi0,三林路1490号,25,4.84,78
78,KMONGUYS,http://www.dianping.com/shop/G39jxfQbQE55eo7k,大学路199号302,44,4.95,102
79,M•镜,http://www.dianping.com/shop/l7GU3qQYR2RFpl1h,高行镇启帆路517号4层405号,22,4.88,NaN
80,停机坪Whiksy&CocktailBar,http://www.dianping.com/shop/H3sS8uGkoDfnrysG,大沽路486号2层,54,4.90,110
81,HIWhiskyLounge,http://www.dianping.com/shop/G9sGJbMND1if0vG7,平度路230号沿街商铺,20,4.85,123
82,SPACECLUB(虹桥机场店),http://www.dianping.com/shop/G4zoiSpsH8PmzxHT,申滨南路938号101、102室,106,4.87,170
83,MOSTCLUB电音派对酒吧(旗舰店),http://www.dianping.com/shop/laUV5e4syK5YwoUb,沪松公路1108号,63,4.86,288
84,MININGWHISKYCLUB(富民路二店),http://www.dianping.com/shop/G6ZZydz75w5MThCV,富民路83号,194,4.89,418
85,Gangso黑店CraftBeer,http://www.dianping.com/shop/k6H1t0l4A1FqxibM,吴中路1588号爱琴海购物中心B1大隐古食代,37,4.91,130
86,印迹Imprintbar酒吧(美兰湖北欧风情小镇店),http://www.dianping.com/shop/l5Lmld2Ln9VEgk0w,罗芬路689弄C区71号,39,4.88,138
87,喜闻SayveBar(华山路店),http://www.dianping.com/shop/jMmcOFaFoHwSSm8j,华山路1535号（华山路泰安路交叉口）,29,4.93,83
88,VALPASSOBar(巨鹿店),http://www.dianping.com/shop/G1hp6oYhjkYozmHd,巨鹿路758号5号楼3F,1011,4.87,135
89,OhbarLivehouse(徐汇店),http://www.dianping.com/shop/k6zK92FbXkDLeyPW,天钥桥路218号2楼,505,4.81,139
90,码子酒馆,http://www.dianping.com/shop/l6h4UQVpcNbkKwbI,高阳路77号3号平台2层（渡边日料楼上）,512,4.83,153
91,dbrood小酒窝(花园路店),http://www.dianping.com/shop/k8iFXGVeAr1WCRk7,花园路88号3楼,33,4.87,101
92,BarLimbo·境,http://www.dianping.com/shop/G5fZt12Hf4uJa3If,襄阳北路100号襄阳坊2楼202室,77,4.92,151
93,Fancyfree,http://www.dianping.com/shop/k45uZEdiFvFePgbp,黄金城道699号,55,4.84,107
94,HEPBURN赫本酒吧(七宝旗舰店),http://www.dianping.com/shop/G1ljD7DIcuTZeu9g,七宝镇北西街84号,61,4.87,NaN
95,288Livehouse酒吧(泰康店),http://www.dianping.com/shop/k2bShdxRfYKc9Pwt,泰康路288号2楼,2238,4.80,182
96,鸵鸟先生烧烤音乐吧,http://www.dianping.com/shop/G6NJsN805J7MXeqZ,锦秋路809弄72号,58,4.94,85
97,THEDRUNK·醉酒吧(曹家渡店),http://www.dianping.com/shop/k4oQq6pfe7ZWh0NM,万航渡后路63号(蔚蓝水岸边),66,4.95,134
98,喜闻SayveBar(建国西路店),http://www.dianping.com/shop/H4hErJu1O2GJTtCa,建国西路338号-3（近襄阳南路）,20,4.84,107
99,远方小酒馆(七宝国际店),http://www.dianping.com/shop/k4k92p3PFvWKLvda,中春路地铁站6号口中春路8633弄27栋77号,156,4.96,120
100,十千酒侍小酒馆,http://www.dianping.com/shop/k90CiJF5JwDJw5pa,瑞平路230号B2-016保利·时光里,165,4.87,154
101,NEWBEAT酒吧,http://www.dianping.com/shop/H1c0uss99UrAun6M,余姚路74号,63,4.88,682
102,PokerHouse,http://www.dianping.com/shop/k3dUq6an25YSi44R,南昌路60号（璞邸精品酒店对面）,131,4.88,141
103,ListenLiveHouse(FOUND158店),http://www.dianping.com/shop/G69yOZqmDKnktXvJ,巨鹿路158号地下B1,220,4.81,149
104,TheWolfpack,http://www.dianping.com/shop/l5C3AIqrJzTIDUg5,福建南路1号,1036,4.88,113
105,LSGCafe·Cocktail·Food,http://www.dianping.com/shop/jvwUH8zTIwr3Twoz,延安西路2088号A106,42,4.94,112
106,BLACKSTONEEXCHANGE｜Whisky&Cocktail黑石交换所,http://www.dianping.com/shop/G6Sy9U13Cfcdpdey,复兴中路1331号黑石公寓1楼（幸福集荟书店入口）,267,4.94,308
107,鹤YokaBalance,http://www.dianping.com/shop/l4L69V2OO7A4wfaV,陕西北路925号,200,4.92,217
108,零听音乐小酒馆,http://www.dianping.com/shop/G5YN9XNE9a5yEFaJ,古方路76号,581,4.85,86
109,Gravity引力精酿,http://www.dianping.com/shop/k5ZTeB07oI983qKn,沪闵路4200号A栋118,35,4.95,82
110,阑珊音乐酒吧BlueMountainBar,http://www.dianping.com/shop/laLVvYM3ks7NQPXX,共和新路万达广场金街3楼332室,14,4.81,NaN
111,iN派对酒吧,http://www.dianping.com/shop/HajoklhbDBw87p4B,沪星路105号,60,4.89,277
112,Friday摆渡人(静安店),http://www.dianping.com/shop/l2bkkQXG2o2D9IaN,陕西北路58号,202,4.90,135
113,HedwigBar,http://www.dianping.com/shop/l8KEzdd1qhWkM8Yl,长乐路462号联合谷集社西楼W201-202,99,4.92,140
114,WAYBACKLOUNGEBAR,http://www.dianping.com/shop/k7B23iATQDQc07vV,姚虹路85号,65,4.86,181
115,BlackSwanWhisky&Cocktail,http://www.dianping.com/shop/k5TkKDctwZvWAaK6,番禺路390号-10号lope390商场2楼,145,4.92,144
116,AMBRAHAUSBEERBAR,http://www.dianping.com/shop/G9uXTMXacUd0h8N2,共和新路5000弄2号,43,4.92,151
117,MAYBE威士忌coffee&bar·清吧,http://www.dianping.com/shop/l3KaH1JsfkePi3Pi,富民路211-2号,202,4.89,96
118,816sweet酒吧(志丹路店),http://www.dianping.com/shop/GaxjPpNq4QEJlp5a,志丹路258号（西部乐巢青年公寓二楼）,15,4.82,NaN
119,谷池bar,http://www.dianping.com/shop/l5yx5LstgRtOOC2T,东靖路1881号万嘉商业广场4楼401室,22,4.82,NaN
